	Product1	Product2
1	A03	A05
2	A02	A05
3	A04	A05
4	A05	A06
5	A04	A07
6	A02	A07
7	A06	A07
8	A02	A03
9	A02	A04
10	A03	A04
11	A06	A08
12	A03	A08
13	A07	A08
14	A08	A09
15	A06	A09
16	A07	A09
17	A09	A10
18	A02	A10
19	A07	A10
20	A13	A20
21	A19	A20
22	A10	A20
23	A12	A20
24	A18	A20
25	A22	A33
26	A31	A33
27	A10	A11
28	A09	A11
29	A11	A12
30	A12	A13
31	A12	A14
32	A13	A14
33	A05	A15
34	A09	A15
35	A13	A15
36	A12	A15
37	A14	A15
38	A13	A16
39	A06	A16
40	A15	A16
41	A16	A17
42	A09	A17
43	A14	A18
44	A16	A18
45	A17	A18
46	A18	A19
47	A06	A19
48	A17	A19
49	A07	A19
50	A09	A19
51	A10	A19
52	A13	A21
53	A15	A21
54	A20	A21
55	A18	A21
56	A16	A22
57	A21	A22
58	A18	A23
59	A22	A23
60	A17	A23
61	A23	A24
62	A17	A24
63	A20	A24
64	A10	A24
65	A07	A24
66	A19	A24
67	A22	A29
68	A24	A29
69	A06	A29
70	A29	A30
71	A24	A31
72	A07	A31
73	A10	A31
74	A30	A31
75	A30	A32
76	A08	A32
77	A19	A32
78	A31	A32
79	A22	A25
80	A20	A25
81	A18	A25
82	A24	A25
83	A08	A26
84	A25	A26
85	A26	A27
86	A24	A28
87	A20	A28
88	A09	A28
89	A23	A28
